code,channel,decoder,parameter,mean_BER,std_BER,ci_low,ci_high,seeds,words,decode_time
wavelet_16_8,rayleigh,hard_mld,4.0,0.16275000,0.01975237,0.13828666,0.18721334,5,100,0.0108
wavelet_16_8,rayleigh,hard_mld,5.0,0.13875000,0.02313344,0.11009920,0.16740080,5,100,0.0110
wavelet_16_8,rayleigh,hard_mld,6.0,0.11425000,0.01365307,0.09734066,0.13115934,5,100,0.0117
wavelet_16_8,rayleigh,soft_mld,0.0,0.23350000,0.01812284,0.21105483,0.25594517,5,100,0.0035
wavelet_16_8,rayleigh,soft_mld,1.0,0.19800000,0.03106948,0.15952041,0.23647959,5,100,0.0039
wavelet_16_8,rayleigh,soft_mld,2.0,0.16850000,0.02866019,0.13300432,0.20399568,5,100,0.0044
wavelet_16_8,rayleigh,soft_mld,3.0,0.13925000,0.03242299,0.09909409,0.17940591,5,100,0.0037
wavelet_16_8,rayleigh,soft_mld,4.0,0.11825000,0.02773479,0.08390042,0.15259958,5,100,0.0034
wavelet_16_8,rayleigh,soft_mld,5.0,0.09700000,0.02482124,0.06625887,0.12774113,5,100,0.0034
wavelet_16_8,rayleigh,soft_mld,6.0,0.07950000,0.02483697,0.04873938,0.11026062,5,100,0.0035
wavelet_16_8,sinusoidal,syndrome,0.0,0.39575000,0.02732330,0.36191006,0.42958994,5,100,0.0202
wavelet_16_8,sinusoidal,syndrome,1.0,0.32125000,0.03538847,0.27742133,0.36507867,5,100,0.0235
wavelet_16_8,sinusoidal,syndrome,2.0,0.25925000,0.04395132,0.20481623,0.31368377,5,100,0.0243
wavelet_16_8,sinusoidal,syndrome,3.0,0.17925000,0.04360333,0.12524722,0.23325278,5,100,0.0234
wavelet_16_8,sinusoidal,syndrome,4.0,0.12025000,0.03884464,0.07214086,0.16835914,5,100,0.0232
wavelet_16_8,sinusoidal,syndrome,5.0,0.06625000,0.04119314,0.01523224,0.11726776,5,100,0.0234
wavelet_16_8,sinusoidal,syndrome,6.0,0.03975000,0.03493744,0.00000000,0.08302007,5,100,0.0224
wavelet_16_8,sinusoidal,chase,0.0,0.14075000,0.00401170,0.13578150,0.14571850,5,100,0.1611
wavelet_16_8,sinusoidal,chase,1.0,0.08550000,0.01857418,0.06249586,0.10850414,5,100,0.1678
wavelet_16_8,sinusoidal,chase,2.0,0.05300000,0.01806239,0.03062970,0.07537030,5,100,0.1742
wavelet_16_8,sinusoidal,chase,3.0,0.03600000,0.01794958,0.01376942,0.05823058,5,100,0.1705
wavelet_16_8,sinusoidal,chase,4.0,0.01850000,0.01157179,0.00416833,0.03283167,5,100,0.1796
wavelet_16_8,sinusoidal,chase,5.0,0.00800000,0.00616188,0.00036851,0.01563149,5,100,0.1700
wavelet_16_8,sinusoidal,chase,6.0,0.00275000,0.00379144,0.00000000,0.00744570,5,100,0.1727
wavelet_16_8,sinusoidal,hard_mld,0.0,0.22650000,0.01173936,0.21196079,0.24103921,5,100,0.0116
wavelet_16_8,sinusoidal,hard_mld,1.0,0.17550000,0.02743743,0.14151871,0.20948129,5,100,0.0130
wavelet_16_8,sinusoidal,hard_mld,2.0,0.14125000,0.02316719,0.11255740,0.16994260,5,100,0.0124
wavelet_16_8,sinusoidal,hard_mld,3.0,0.09800000,0.01872081,0.07481425,0.12118575,5,100,0.0121
wavelet_16_8,sinusoidal,hard_mld,4.0,0.06950000,0.02245829,0.04168537,0.09731463,5,100,0.0116
wavelet_16_8,sinusoidal,hard_mld,5.0,0.04150000,0.02138560,0.01501391,0.06798609,5,100,0.0118
wavelet_16_8,sinusoidal,hard_mld,6.0,0.02200000,0.01542624,0.00289459,0.04110541,5,100,0.0133
wavelet_16_8,sinusoidal,soft_mld,0.0,0.14400000,0.00692595,0.13542220,0.15257780,5,100,0.0036
wavelet_16_8,sinusoidal,soft_mld,1.0,0.08675000,0.01692354,0.06579017,0.10770983,5,100,0.0041
wavelet_16_8,sinusoidal,soft_mld,2.0,0.05300000,0.02424807,0.02296874,0.08303126,5,100,0.0048
wavelet_16_8,sinusoidal,soft_mld,3.0,0.03850000,0.02312331,0.00986175,0.06713825,5,100,0.0038
wavelet_16_8,sinusoidal,soft_mld,4.0,0.01850000,0.01157179,0.00416833,0.03283167,5,100,0.0046
wavelet_16_8,sinusoidal,soft_mld,5.0,0.00800000,0.00616188,0.00036851,0.01563149,5,100,0.0037
wavelet_16_8,sinusoidal,soft_mld,6.0,0.00225000,0.00335410,0.00000000,0.00640406,5,100,0.0038
bch_derived_16_8,rayleigh_awgn,syndrome,0.0,0.47900000,0.04573531,0.42235676,0.53564324,5,100,0.0168
bch_derived_16_8,rayleigh_awgn,syndrome,1.0,0.43000000,0.03896112,0.38174660,0.47825340,5,100,0.0166
bch_derived_16_8,rayleigh_awgn,syndrome,2.0,0.38525000,0.02729183,0.35144904,0.41905096,5,100,0.0175
bch_derived_16_8,rayleigh_awgn,syndrome,3.0,0.32450000,0.02801506,0.28980331,0.35919669,5,100,0.0168
bch_derived_16_8,rayleigh_awgn,syndrome,4.0,0.24875000,0.04977292,0.18710617,0.31039383,5,100,0.0177
bch_derived_16_8,rayleigh_awgn,syndrome,5.0,0.18825000,0.02882599,0.15254898,0.22395102,5,100,0.0173
bch_derived_16_8,rayleigh_awgn,syndrome,6.0,0.14500000,0.04291161,0.09185392,0.19814608,5,100,0.0173
bch_derived_16_8,rayleigh_awgn,chase,0.0,0.16650000,0.01587057,0.14684428,0.18615572,5,100,0.1575
bch_derived_16_8,rayleigh_awgn,chase,1.0,0.13225000,0.02056620,0.10677873,0.15772127,5,100,0.1570
bch_derived_16_8,rayleigh_awgn,chase,2.0,0.09625000,0.01956559,0.07201799,0.12048201,5,100,0.1583
bch_derived_16_8,rayleigh_awgn,chase,3.0,0.06650000,0.01412555,0.04900548,0.08399452,5,100,0.1601
bch_derived_16_8,rayleigh_awgn,chase,4.0,0.03975000,0.01464155,0.02161642,0.05788358,5,100,0.1597
bch_derived_16_8,rayleigh_awgn,chase,5.0,0.02525000,0.00669655,0.01695632,0.03354368,5,100,0.1631
bch_derived_16_8,rayleigh_awgn,chase,6.0,0.01150000,0.00540544,0.00480536,0.01819464,5,100,0.1672
bch_derived_16_8,rayleigh_awgn,hard_mld,0.0,0.23450000,0.01373863,0.21748469,0.25151531,5,100,0.0130
