code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,bit_errors,total_bits,ber,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,4.0,0.6309573444801932,500,syndrome,False,,7744,16000,0.484,242,0.484,242,0.484,242,0.484,0,0.0,0.2607330000028014,0.5214660000056028
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,4.0,0.6309573444801932,500,chase,False,,1024,16000,0.064,32,0.064,32,0.064,32,0.064,0,0.0,10.204250000067987,20.408500000135973
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,4.5,0.5956621435290105,500,syndrome,False,,4928,16000,0.308,154,0.308,154,0.308,154,0.308,0,0.0,0.35018439998384565,0.7003687999676913
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,4.5,0.5956621435290105,500,chase,False,,352,16000,0.022,11,0.022,11,0.022,11,0.022,0,0.0,13.05808910005726,26.11617820011452
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,5.0,0.5623413251903491,500,syndrome,False,,3200,16000,0.2,100,0.2,100,0.2,100,0.2,0,0.0,0.39913989999331534,0.7982797999866307
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,5.0,0.5623413251903491,500,chase,False,,64,16000,0.004,2,0.004,2,0.004,2,0.004,0,0.0,15.481018999940716,30.96203799988143
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,0.0,0.8366600265340756,500,syndrome,False,,18935,22500,0.8415555555555555,470,0.94,470,0.94,385,0.77,0,0.0,0.10671330010518432,0.21342660021036863
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,0.0,0.8366600265340756,500,chase,False,,7310,22500,0.3248888888888889,377,0.754,377,0.754,0,0.0,0,0.0,6.279383199987933,12.558766399975866
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,0.5,0.7898579978031632,500,syndrome,False,,17899,22500,0.7955111111111111,446,0.892,446,0.892,362,0.724,0,0.0,0.12872579996474087,0.25745159992948174
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,0.5,0.7898579978031632,500,chase,False,,5911,22500,0.2627111111111111,311,0.622,311,0.622,0,0.0,0,0.0,6.876810599933378,13.753621199866757
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,1.0,0.7456740335474993,500,syndrome,False,,16205,22500,0.7202222222222222,404,0.808,404,0.808,329,0.658,0,0.0,0.15339320001658052,0.30678640003316104
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,1.0,0.7456740335474993,500,chase,False,,4664,22500,0.20728888888888888,245,0.49,245,0.49,2,0.004,0,0.0,7.77459419996012,15.54918839992024
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,1.5,0.7039616815345111,500,syndrome,False,,14578,22500,0.6479111111111111,357,0.714,357,0.714,302,0.604,0,0.0,0.17571720003616065,0.3514344000723213
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,1.5,0.7039616815345111,500,chase,False,,3048,22500,0.13546666666666668,165,0.33,165,0.33,0,0.0,0,0.0,8.97309620003216,17.94619240006432
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,2.0,0.6645826819411828,500,syndrome,False,,12252,22500,0.5445333333333333,298,0.596,298,0.596,256,0.512,0,0.0,0.21032389998435974,0.4206477999687195
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,2.0,0.6645826819411828,500,chase,False,,1797,22500,0.07986666666666667,99,0.198,99,0.198,0,0.0,0,0.0,10.525371299940161,21.050742599880323
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,2.5,0.6274065090778421,500,syndrome,False,,8988,22500,0.3994666666666667,226,0.452,226,0.452,184,0.368,0,0.0,0.2656391999917105,0.531278399983421
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,2.5,0.6274065090778421,500,chase,False,,1042,22500,0.04631111111111111,56,0.112,56,0.112,0,0.0,1,0.002,12.63079349999316,25.26158699998632
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,3.0,0.5923099387475198,500,syndrome,False,,6895,22500,0.30644444444444446,172,0.344,172,0.344,140,0.28,0,0.0,0.3355927999364212,0.6711855998728424
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,3.0,0.5923099387475198,500,chase,False,,518,22500,0.02302222222222222,29,0.058,29,0.058,0,0.0,0,0.0,14.180610899929889,28.361221799859777
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,3.5,0.5591766398068451,500,syndrome,False,,4598,22500,0.20435555555555557,117,0.234,117,0.234,92,0.184,0,0.0,0.3393503000261262,0.6787006000522524
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,3.5,0.5591766398068451,500,chase,False,,142,22500,0.006311111111111111,8,0.016,8,0.016,0,0.0,0,0.0,15.57161600003019,31.14323200006038
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,4.0,0.5278967885746684,500,syndrome,False,,2406,22500,0.10693333333333334,64,0.128,64,0.128,47,0.094,0,0.0,0.3715899999951944,0.7431799999903888
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,4.0,0.5278967885746684,500,chase,False,,49,22500,0.0021777777777777776,3,0.006,3,0.006,0,0.0,0,0.0,17.05915940005798,34.11831880011596
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,4.5,0.49836670481032624,500,syndrome,False,,1095,22500,0.048666666666666664,31,0.062,31,0.062,20,0.04,0,0.0,0.3940975000150502,0.7881950000301003
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,4.5,0.49836670481032624,500,chase,False,,24,22500,0.0010666666666666667,1,0.002,1,0.002,0,0.0,0,0.0,18.005021800054237,36.010043600108474
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,5.0,0.47048850805496467,500,syndrome,False,,555,22500,0.024666666666666667,14,0.028,14,0.028,11,0.022,0,0.0,0.3972377999452874,0.7944755998905748
bch_63_45_preliminary,bch,63,45,0.7142857142857143,,,6,7,1,,7,3,3,6,5.0,0.47048850805496467,500,chase,False,,15,22500,0.0006666666666666666,1,0.002,1,0.002,0,0.0,0,0.0,18.768668100005016,37.53733620001003
