code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,3.0,0.7079457843841379,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,12000,16000,0.75,0.75,0.0,125,4000,0,375,0.75,375,0.75,375,0.75,0,0.0,0.0,0,0.0,0.37527129985392094,0.7505425997078419,0.7505425997078419
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,3.0,0.7079457843841379,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,4544,16000,0.284,0.284,0.0,358,11456,0,142,0.284,142,0.284,142,0.284,0,0.0,0.0,0,0.0,15.729685200145468,31.45937040029094,31.45937040029094
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,3.5,0.6683439175686147,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,10144,16000,0.634,0.634,0.0,183,5856,0,317,0.634,317,0.634,317,0.634,0,0.0,0.0,0,0.0,0.520245100138709,1.040490200277418,1.040490200277418
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,3.5,0.6683439175686147,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,2656,16000,0.166,0.166,0.0,417,13344,0,83,0.166,83,0.166,83,0.166,0,0.0,0.0,0,0.0,19.802075600018725,39.60415120003745,39.60415120003745
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,4.0,0.6309573444801932,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,7744,16000,0.484,0.484,0.0,258,8256,0,242,0.484,242,0.484,242,0.484,0,0.0,0.0,0,0.0,0.3085101000033319,0.6170202000066638,0.6170202000066638
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,4.0,0.6309573444801932,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,1024,16000,0.064,0.064,0.0,468,14976,0,32,0.064,32,0.064,32,0.064,0,0.0,0.0,0,0.0,15.317781100049615,30.63556220009923,30.63556220009923
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,4.5,0.5956621435290105,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,4928,16000,0.308,0.308,0.0,346,11072,0,154,0.308,154,0.308,154,0.308,0,0.0,0.0,0,0.0,1.0220143999904394,2.044028799980879,2.044028799980879
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,4.5,0.5956621435290105,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,352,16000,0.022,0.022,0.0,489,15648,0,11,0.022,11,0.022,11,0.022,0,0.0,0.0,0,0.0,36.06368390005082,72.12736780010164,72.12736780010164
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,5.0,0.5623413251903491,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,3200,16000,0.2,0.2,0.0,400,12800,0,100,0.2,100,0.2,100,0.2,0,0.0,0.0,0,0.0,1.0664325000252575,2.132865000050515,2.132865000050515
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,5.0,0.5623413251903491,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,64,16000,0.004,0.004,0.0,498,15936,0,2,0.004,2,0.004,2,0.004,0,0.0,0.0,0,0.0,42.20239740004763,84.40479480009526,84.40479480009526
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,0.0,1.0,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,15936,16000,0.996,0.996,0.0,2,64,0,498,0.996,498,0.996,498,0.996,0,0.0,0.0,0,0.0,0.06307310005649924,0.12614620011299849,0.12614620011299849
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,0.0,1.0,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,15200,16000,0.95,0.95,0.0,25,800,0,475,0.95,475,0.95,475,0.95,0,0.0,0.0,0,0.0,3.9027460999786854,7.805492199957371,7.805492199957371
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,0.5,0.9440608762859234,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,15840,16000,0.99,0.99,0.0,5,160,0,495,0.99,495,0.99,495,0.99,0,0.0,0.0,0,0.0,0.04745030007325113,0.09490060014650226,0.09490060014650226
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,0.5,0.9440608762859234,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,14400,16000,0.9,0.9,0.0,50,1600,0,450,0.9,450,0.9,450,0.9,0,0.0,0.0,0,0.0,4.23357590008527,8.46715180017054,8.46715180017054
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,1.0,0.8912509381337456,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,15616,16000,0.976,0.976,0.0,12,384,0,488,0.976,488,0.976,488,0.976,0,0.0,0.0,0,0.0,0.08012860012240708,0.16025720024481416,0.16025720024481416
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,1.0,0.8912509381337456,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,13120,16000,0.82,0.82,0.0,90,2880,0,410,0.82,410,0.82,410,0.82,0,0.0,0.0,0,0.0,4.812494399957359,9.624988799914718,9.624988799914718
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,1.5,0.8413951416451951,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,15296,16000,0.956,0.956,0.0,22,704,0,478,0.956,478,0.956,478,0.956,0,0.0,0.0,0,0.0,0.09908660012297332,0.19817320024594665,0.19817320024594665
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,1.5,0.8413951416451951,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,11136,16000,0.696,0.696,0.0,152,4864,0,348,0.696,348,0.696,348,0.696,0,0.0,0.0,0,0.0,5.645726499846205,11.29145299969241,11.29145299969241
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,2.0,0.7943282347242815,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,14496,16000,0.906,0.906,0.0,47,1504,0,453,0.906,453,0.906,453,0.906,0,0.0,0.0,0,0.0,0.13657120009884238,0.27314240019768476,0.27314240019768476
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,2.0,0.7943282347242815,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,8928,16000,0.558,0.558,0.0,221,7072,0,279,0.558,279,0.558,279,0.558,0,0.0,0.0,0,0.0,7.109338999958709,14.218677999917418,14.218677999917418
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,2.5,0.7498942093324559,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,13632,16000,0.852,0.852,0.0,74,2368,0,426,0.852,426,0.852,426,0.852,0,0.0,0.0,0,0.0,0.20871159993112087,0.41742319986224174,0.41742319986224174
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,2.5,0.7498942093324559,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,6912,16000,0.432,0.432,0.0,284,9088,0,216,0.432,216,0.432,216,0.432,0,0.0,0.0,0,0.0,9.505035100039095,19.01007020007819,19.01007020007819
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,3.0,0.7079457843841379,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,11872,16000,0.742,0.742,0.0,129,4128,0,371,0.742,371,0.742,371,0.742,0,0.0,0.0,0,0.0,0.3863393999636173,0.7726787999272346,0.7726787999272346
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,3.0,0.7079457843841379,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,4480,16000,0.28,0.28,0.0,360,11520,0,140,0.28,140,0.28,140,0.28,0,0.0,0.0,0,0.0,13.390708199935034,26.781416399870068,26.781416399870068
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,3.5,0.6683439175686147,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,9536,16000,0.596,0.596,0.0,202,6464,0,298,0.596,298,0.596,298,0.596,0,0.0,0.0,0,0.0,0.4541653001215309,0.9083306002430618,0.9083306002430618
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,3.5,0.6683439175686147,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,2496,16000,0.156,0.156,0.0,422,13504,0,78,0.156,78,0.156,78,0.156,0,0.0,0.0,0,0.0,18.936061199987307,37.872122399974614,37.872122399974614
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,4.0,0.6309573444801932,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,7232,16000,0.452,0.452,0.0,274,8768,0,226,0.452,226,0.452,226,0.452,0,0.0,0.0,0,0.0,0.5836729998700321,1.1673459997400641,1.1673459997400641
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,4.0,0.6309573444801932,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,1344,16000,0.084,0.084,0.0,458,14656,0,42,0.084,42,0.084,42,0.084,0,0.0,0.0,0,0.0,22.82037019985728,45.64074039971456,45.64074039971456
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,4.5,0.5956621435290105,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,4672,16000,0.292,0.292,0.0,354,11328,0,146,0.292,146,0.292,146,0.292,0,0.0,0.0,0,0.0,0.881034699967131,1.762069399934262,1.762069399934262
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,4.5,0.5956621435290105,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,352,16000,0.022,0.022,0.0,489,15648,0,11,0.022,11,0.022,11,0.022,0,0.0,0.0,0,0.0,21.93409479991533,43.86818959983066,43.86818959983066
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,5.0,0.5623413251903491,500,syndrome,False,,0.04273120011202991,43745,43745,0,5378480,3104,16000,0.194,0.194,0.0,403,12896,0,97,0.194,97,0.194,97,0.194,0,0.0,0.0,0,0.0,1.0162572998087853,2.0325145996175706,2.0325145996175706
bch_derived_64_32_equal_t3,bch_derived,64,32,0.5,,,7,11,1,,60,3,,3,3,6,5.0,0.5623413251903491,500,chase,False,,0.04273120011202991,43745,43745,0,5378480,96,16000,0.006,0.006,0.0,497,15904,0,3,0.006,3,0.006,3,0.006,0,0.0,0.0,0,0.0,45.12229950004257,90.24459900008515,90.24459900008515
