code_name,n,k,code_rate,h,g,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,bit_errors,total_bits,ber,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,experiment,h_64_32_length,h_64_32_weight,h_64_32
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.0,1.0,20000,syndrome,False,,56819,160000,0.35511875,9503,0.47515,9503,0.47515,5242,0.2621,0,0.0,2.7415210999997726,0.13707605499998865,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.0,1.0,20000,hard_mld,False,,32041,160000,0.20025625,8533,0.42665,8533,0.42665,0,0.0,5242,0.2621,0.12188079999941692,0.006094039999970846,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.0,1.0,20000,soft_mld,False,,17546,160000,0.1096625,4763,0.23815,4763,0.23815,0,0.0,2,0.0001,0.02761839999948279,0.0013809199999741395,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.0,1.0,20000,chase,False,,17787,160000,0.11116875,4828,0.2414,4828,0.2414,0,0.0,1,5e-05,43.39788989999943,2.1698944949999714,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.5,0.9440608762859234,20000,syndrome,False,,49216,160000,0.3076,8243,0.41215,8243,0.41215,4551,0.22755,0,0.0,2.7395603000004485,0.1369780150000224,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.5,0.9440608762859234,20000,hard_mld,False,,27601,160000,0.17250625,7348,0.3674,7348,0.3674,0,0.0,4551,0.22755,0.12132810000002792,0.006066405000001395,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.5,0.9440608762859234,20000,soft_mld,False,,13215,160000,0.08259375,3622,0.1811,3622,0.1811,0,0.0,0,0.0,0.03300149999995483,0.0016500749999977416,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,0.5,0.9440608762859234,20000,chase,False,,13404,160000,0.083775,3676,0.1838,3676,0.1838,0,0.0,0,0.0,43.3783841000004,2.16891920500002,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.0,0.8912509381337456,20000,syndrome,False,,41822,160000,0.2613875,6993,0.34965,6993,0.34965,3910,0.1955,0,0.0,2.789086299999326,0.1394543149999663,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.0,0.8912509381337456,20000,hard_mld,False,,22933,160000,0.14333125,6130,0.3065,6130,0.3065,0,0.0,3910,0.1955,0.12001019999843265,0.006000509999921633,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.0,0.8912509381337456,20000,soft_mld,False,,9696,160000,0.0606,2680,0.134,2680,0.134,0,0.0,0,0.0,0.031657700001233025,0.0015828850000616512,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.0,0.8912509381337456,20000,chase,False,,9899,160000,0.06186875,2739,0.13695,2739,0.13695,0,0.0,0,0.0,45.1518472000007,2.257592360000035,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.5,0.8413951416451951,20000,syndrome,False,,34533,160000,0.21583125,5762,0.2881,5762,0.2881,3265,0.16325,0,0.0,2.961659700000382,0.14808298500001912,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
wavelet_16_8,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,5,2,2,4,1.5,0.8413951416451951,20000,hard_mld,False,,18692,160000,0.116825,5008,0.2504,5008,0.2504,0,0.0,3265,0.16325,0.11890200000016193,0.005945100000008097,baseline,32,19,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1
