code_name,n,k,code_rate,h,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,bit_errors,total_bits,ber,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,chase_p,syndrome_t
wavelet_64_32,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,3.5,0.6683439175686147,100,chase,False,,640,3200,0.2,20,0.2,20,0.2,20,0.2,0,0.0,2.4657711999607272,24.657711999607272,8,2
wavelet_64_32,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,3.5,0.6683439175686147,100,chase,False,,352,3200,0.11,11,0.11,11,0.11,11,0.11,0,0.0,6.906558800023049,69.06558800023049,10,2
wavelet_64_32,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,3.5,0.6683439175686147,100,chase,False,,224,3200,0.07,7,0.07,7,0.07,7,0.07,0,0.0,22.562967200006824,225.62967200006824,12,2
